,timestamp,delta
0,01/01/2020,0.21589656955897155
1,01/02/2020,-0.020604357914333057
2,01/03/2020,-0.4035374423241098
3,01/04/2020,0.23553609622046157
4,01/05/2020,0.3712017296901021
5,01/06/2020,0.19651876252296038
6,01/07/2020,0.06276497945819684
7,01/08/2020,0.7454692674412924
8,01/09/2020,-0.3339695576577015
9,01/10/2020,-0.37481402294370825
10,01/11/2020,0.5800373388919224
11,01/12/2020,0.19249740348488603
12,01/01/2021,1.7084024385158263
13,01/02/2021,0.2018965276789385
14,01/03/2021,0.11737284265301057
15,01/04/2021,0.34712347967057067
16,01/05/2021,-0.2645881329177754
17,01/06/2021,-0.32673653581933065
18,01/07/2021,0.1682635401804706
19,01/08/2021,0.1871316567533679
20,01/09/2021,-0.2374844873958875
21,01/10/2021,0.07043583866814897
22,01/11/2021,-0.1476323367662796
23,01/12/2021,-0.2753509250312553
24,01/01/2022,-0.40783645971238786
25,01/02/2022,-0.02289678094080859
26,01/03/2022,0.04410511087531489
27,01/04/2022,-0.4045248399448839
28,01/05/2022,-0.37543835047312357
29,01/06/2022,-0.3093267089846503
30,01/07/2022,0.5995615550559613
31,01/08/2022,-0.21861172939965462
32,01/09/2022,-0.058581023223087086
33,01/10/2022,-1.0
34,01/11/2022,0.0
